crypto_id,crypto_type,entity_type
amberdata,other crypto,crypto
Anchorage Digital,other crypto,crypto
Axoni,other crypto,crypto
Bitflyer,other crypto,crypto
Blockdaemon,other crypto,crypto
Certik,other crypto,crypto
Cobalt,other crypto,crypto
Coin Metrics,other crypto,crypto
Coinbase,other crypto,crypto
CoinMetrics,other crypto,crypto
ConsenSys,other crypto,crypto
Contour,other crypto,crypto
Covault,other crypto,crypto
Digital Asset,other crypto,crypto
Elliptic,other crypto,crypto
Elwood Technologies,other crypto,crypto
Figment,other crypto,crypto
Fireblocks,other crypto,crypto
HQLAx,other crypto,crypto
NYDIG,other crypto,crypto
Quantstamp,other crypto,crypto
RealBlocks,other crypto,crypto
Ripple,other crypto,crypto
SETL,other crypto,crypto
Talos,other crypto,crypto
TRM,other crypto,crypto
